786	内容标签	4	城市道路	1000033	0	0	0			2022-10-26 15:13:33	2023-09-15 14:40:13	786	1000302,1000021,1000033,786	技术与评测,评测,特殊场景试驾,城市道路	2023-12-28
80279	内容标签	4	汽车涨价	1000048	1	0	0			2022-10-26 15:13:33	2023-05-29 19:06:36	80279	1000131,1000272,1000048,80279	要闻热点,车圈新闻,价格行情,汽车涨价	2023-12-28
1000029	内容标签	4	碰撞测试	1000024	1	0	0			2022-10-26 15:13:33	2023-05-29 19:06:36	0	1000302,1000021,1000024,1000029	技术与评测,评测,安全测试,碰撞测试	2023-12-28
1000040	内容标签	4	优美风景	1000033	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:36	0	1000302,1000021,1000033,1000040	技术与评测,评测,特殊场景试驾,优美风景	2023-12-28
1000043	内容标签	4	拆解评测	1000023	1	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000302,1000021,1000023,1000043	技术与评测,评测,静态评测,拆解评测	2023-12-28
1000049	内容标签	4	汽车报价	1000048	0	0	0			2022-10-26 15:13:33	2023-05-29 19:28:34	0	1000131,1000272,1000048,1000049	要闻热点,车圈新闻,价格行情,汽车报价	2023-12-28
1000050	内容标签	4	汽车降价	1000048	1	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000131,1000272,1000048,1000050	要闻热点,车圈新闻,价格行情,汽车降价	2023-12-28
1000053	内容标签	4	车型咨询	1000052	0	0	0			2022-10-26 15:13:33	2023-05-29 20:13:47	0	1000056,1000011,1000052,1000053	选买类内容,导购,选车疑问,车型咨询	2023-12-28
1000054	内容标签	4	价格咨询	1000052	0	0	0			2022-10-26 15:13:33	2023-05-29 19:59:18	0	1000056,1000011,1000052,1000054	选买类内容,导购,选车疑问,价格咨询	2023-12-28
1000055	内容标签	4	配置咨询	1000052	0	0	0			2022-10-26 15:13:33	2023-05-29 19:59:38	0	1000056,1000011,1000052,1000055	选买类内容,导购,选车疑问,配置咨询	2023-12-28
1000079	内容标签	4	配件对比	1000078	1	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000069,387,1000078,1000079	用车,维修保养,汽车配件,配件对比	2023-12-28
1000080	内容标签	4	配件价格	1000078	1	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000069,387,1000078,1000080	用车,维修保养,汽车配件,配件价格	2023-12-28
1000081	内容标签	4	配件介绍	1000078	1	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000069,387,1000078,1000081	用车,维修保养,汽车配件,配件介绍	2023-12-28
1000095	内容标签	4	省油/电技巧	1000094	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000069,1000092,1000094,1000095	用车,车类知识,驾驶小技巧,省油/电技巧	2023-12-28
1000106	内容标签	4	外观改装	1000105	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000069,1000082,1000105,1000106	用车,用车相关,汽车改装,外观改装	2023-12-28
1000108	内容标签	4	性能改装	1000105	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000069,1000082,1000105,1000108	用车,用车相关,汽车改装,性能改装	2023-12-28
1000110	内容标签	4	改装教程	1000105	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000069,1000082,1000105,1000110	用车,用车相关,汽车改装,改装教程	2023-12-28
1000138	内容标签	4	新能源补贴	1000528	1	0	0			2022-10-26 15:13:33	2023-05-29 20:16:53	0	1000131,1000132,1000528,1000138	要闻热点,政府新闻,补贴政策,新能源补贴	2023-12-28
1000152	内容标签	4	销量看空	1000151	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000131,1000272,1000151,1000152	要闻热点,车圈新闻,销量新闻,销量看空	2023-12-28
1000153	内容标签	4	销量增长	1000151	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000131,1000272,1000151,1000153	要闻热点,车圈新闻,销量新闻,销量增长	2023-12-28
1000155	内容标签	4	销量解析	1000151	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000131,1000272,1000151,1000155	要闻热点,车圈新闻,销量新闻,销量解析	2023-12-28
1000172	内容标签	4	深度数据研究	1000171	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000131,1000272,1000171,1000172	要闻热点,车圈新闻,行业评论,深度数据研究	2023-12-28
1000201	内容标签	4	人员变动	1000199	0	0	0			2022-10-26 15:13:33	2023-05-29 19:06:37	0	1000131,1000272,1000199,1000201	要闻热点,车圈新闻,花边新闻,人员变动	2023-12-28
1000274	内容标签	4	油价涨跌	1000149	0	0	0			2022-11-24 11:41:58	2023-09-15 16:44:37	0	1000131,1000132,1000149,1000274	要闻热点,政府新闻,汽车油价,油价涨跌	2023-12-28
1000303	内容标签	4	废弃	1000024	0	0	0			2022-11-24 15:09:35	2023-09-15 14:37:43	0	1000302,1000021,1000024,1000303	技术与评测,评测,安全测试,废弃	2023-12-28
1000304	内容标签	4	构造评测	1000023	1	0	0			2022-11-24 15:10:44	2023-09-15 15:28:23	0	1000302,1000021,1000023,1000304	技术与评测,评测,静态评测,构造评测	2023-12-28
